ANYO,DEPTO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
2007,AMAZONAS,3,3,1,1,1,1,4,2,0,1,1,0,1,3,2,1,1,1,1,0,1,0,2,2,0,0,0,3,1,0,1,1,1,2,0,2,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,
2007,ANTIOQUIA,0,2,6,3,3,1,1,1,4,3,1,3,3,2,2,6,3,4,8,1,3,4,7,7,6,2,5,1,2,2,0,1,1,0,1,2,0,3,0,0,2,0,2,1,1,0,0,0,0,0,0,1,
2007,ARAUCA,7,5,0,4,3,1,0,0,1,3,2,1,1,0,2,1,5,0,4,2,2,4,2,7,0,2,1,2,1,2,3,3,3,3,4,3,0,1,2,3,4,1,2,2,5,2,5,2,4,2,3,1,
2007,ATLANTICO,3,1,3,1,3,0,3,0,2,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,2,0,1,1,3,3,0,0,3,2,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,
2007,BOGOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2007,BOLIVAR,2,3,3,3,1,4,3,2,3,0,0,0,4,0,3,3,0,5,2,3,2,3,4,8,7,2,4,1,3,4,3,2,3,4,4,5,1,6,5,1,2,5,4,11,2,6,4,3,5,1,1,4,
2007,BOYACA,0,0,0,0,1,1,3,0,1,1,0,1,0,2,2,0,0,1,1,2,0,1,0,0,0,1,2,0,2,1,1,0,0,1,0,0,0,0,0,0,2,0,2,1,1,2,0,3,1,0,1,1,
2007,CALDAS,2,2,2,2,4,1,2,4,3,3,2,4,2,1,6,6,1,6,3,4,4,5,1,1,5,4,4,1,3,2,2,2,3,4,1,5,1,4,1,3,0,2,1,1,0,2,3,0,0,2,1,1,
2007,CAQUETA,0,4,2,0,5,1,0,0,1,0,2,0,2,0,2,4,2,1,1,2,1,2,1,1,0,0,1,3,2,2,0,1,0,0,1,0,0,1,0,5,1,4,3,1,0,1,1,1,0,0,0,0,
2007,CASANARE,2,0,2,3,0,0,2,3,0,3,1,3,0,0,0,8,3,1,2,3,3,3,3,2,2,3,3,1,5,5,3,3,0,3,0,2,3,2,4,1,4,2,1,0,3,3,3,2,3,0,0,0,
2007,CAUCA,1,0,1,2,3,1,0,0,1,3,1,0,0,0,1,1,0,1,0,1,4,0,0,0,0,0,1,1,2,1,2,1,2,0,1,0,2,2,0,1,0,0,0,5,2,2,1,2,0,1,4,1,
2007,CESAR,1,1,2,0,2,2,0,1,0,1,2,1,2,2,4,2,0,1,4,5,1,2,6,1,4,6,2,4,6,3,2,3,2,0,0,0,3,3,3,4,1,1,2,1,4,2,2,4,3,0,2,4,
2007,CHOCO,0,0,0,0,3,2,0,1,0,4,0,0,0,0,1,0,0,0,0,0,3,0,3,7,0,2,0,0,0,1,0,0,1,3,1,0,2,0,0,6,1,4,0,1,1,0,0,3,0,1,0,2,
2007,CORDOBA,1,4,0,1,0,1,1,0,0,2,0,3,0,5,2,4,3,1,2,2,3,2,1,1,3,4,2,4,2,1,2,0,0,1,1,1,2,9,3,6,3,3,3,3,4,3,2,1,0,1,0,0,
2007,CUNDINAMARCA,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
2007,EXTERIOR,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2007,GUAINIA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,
2007,GUAJIRA,0,0,1,1,1,0,1,1,2,0,0,1,1,2,3,4,1,2,0,1,1,5,1,0,1,3,0,3,0,1,2,0,2,0,1,0,0,1,0,0,1,3,2,1,0,0,1,1,0,0,0,0,
2007,GUAVIARE,0,0,0,1,0,2,0,1,0,2,0,1,2,3,3,3,2,0,0,3,2,1,2,1,0,1,0,6,2,0,0,2,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,2,1,2,0,1,
2007,HUILA,1,0,3,2,0,2,2,3,1,1,1,1,1,5,2,0,2,2,2,3,4,3,5,2,2,4,1,5,3,0,2,1,2,1,5,3,1,0,0,3,2,4,5,3,4,1,2,4,0,0,2,3,
2007,MAGDALENA,0,4,2,0,2,0,1,3,1,3,4,2,0,1,1,3,0,1,1,1,0,1,4,3,5,2,2,0,5,0,2,0,4,7,1,0,2,3,3,1,3,3,6,2,1,5,2,3,0,0,2,1,
2007,META,1,1,2,5,2,4,2,2,1,4,2,1,1,10,5,7,4,5,4,2,10,5,5,2,2,4,0,2,3,4,3,2,3,8,2,0,4,0,2,5,4,4,6,3,4,5,0,5,2,3,3,2,
2007,NARINYO,1,1,0,2,2,2,1,0,3,0,1,0,2,0,3,0,0,2,2,2,3,0,1,1,1,1,4,3,3,1,3,0,2,1,1,3,0,2,6,4,1,0,2,0,1,1,1,3,1,2,0,1,
2007,NORTE SANTANDER,5,5,11,4,2,3,3,1,5,1,4,4,4,4,4,4,2,5,7,5,7,5,4,5,7,6,5,1,2,2,3,4,4,7,0,9,4,2,5,5,6,8,4,6,5,5,6,2,5,4,2,3,
2007,PROCEDENCIA DESCONOCIDA,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2007,PUTUMAYO,0,3,1,3,3,2,0,0,2,2,0,0,2,2,5,0,1,1,2,0,2,2,1,1,2,1,1,1,1,0,1,2,1,0,3,2,1,0,0,2,2,1,0,0,2,0,0,1,0,2,0,0,
2007,QUINDIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2007,RISARALDA,1,0,0,0,0,0,1,0,1,1,1,1,0,1,3,0,0,0,2,0,2,0,0,0,1,0,1,1,0,0,1,1,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,2,1,0,1,0,
2007,SANTANDER,5,1,5,5,0,5,1,3,2,1,0,1,1,4,2,7,5,4,1,3,1,5,3,5,3,4,1,0,4,0,0,3,3,1,6,3,3,3,6,2,1,0,6,5,5,7,0,1,2,2,1,1,
2007,SUCRE,0,2,2,0,1,0,1,1,4,1,1,2,0,0,1,1,1,5,0,3,0,3,2,0,0,2,1,2,0,2,2,3,2,1,1,3,2,1,0,1,2,1,1,1,1,1,0,3,2,0,0,1,
2007,TOLIMA,3,4,2,3,2,1,2,5,0,2,1,1,0,0,1,2,2,0,4,4,1,1,1,1,1,3,2,3,1,2,0,0,1,1,2,0,1,1,0,1,1,3,0,2,1,2,1,1,1,2,0,3,
2007,VALLE,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,0,2,1,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,
2007,VAUPES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,2,0,1,0,1,1,0,0,2,1,2,2,0,1,0,1,0,1,0,0,1,1,1,2,1,1,
2007,VICHADA,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,1,2,1,1,0,0,0,0,0,1,0,1,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
2008,AMAZONAS,0,0,0,1,4,4,0,1,1,1,2,1,4,2,1,0,0,0,0,0,1,2,0,3,1,0,1,0,0,1,2,0,0,1,0,2,2,0,0,1,2,1,0,3,2,2,1,0,2,0,0,0,0
2008,ANTIOQUIA,7,8,14,11,5,16,9,10,11,8,5,5,11,8,12,6,5,6,13,9,14,5,8,7,8,7,11,7,7,10,12,12,6,6,10,10,17,10,10,12,7,11,15,3,10,10,10,10,10,6,7,4,7
2008,ARAUCA,3,2,4,4,3,0,3,3,7,0,1,3,0,1,2,0,3,5,4,1,3,7,2,0,7,1,5,4,2,4,4,3,4,4,3,1,4,0,2,6,7,4,3,0,6,1,2,2,2,2,7,1,5
2008,ATLANTICO,0,2,1,1,0,2,0,0,0,1,0,0,0,0,1,1,1,0,3,1,1,3,1,1,4,3,1,1,4,2,0,2,0,0,1,0,0,0,1,4,1,1,0,0,1,0,1,1,2,1,2,3,1
2008,BOGOTA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
