"ANYO","DEPTO","VARIABLE","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
2007,"AMAZONAS","PRECIP",287.266666666667,121.404545454545,439.369565217391,380.85652173913,329.995652173913,383.908695652174,247.8,235.552173913043,258.231818181818,262.391304347826,257.447826086957,303.573913043478
2008,"AMAZONAS","PRECIP",283.521739130435,264.130434782609,313.839130434783,286.773913043478,364.094736842105,339.072727272727,341.981818181818,267.572727272727,285.081818181818,304.609090909091,283.45,221.460869565217
2009,"AMAZONAS","PRECIP",440.042307692308,331.676,363.608,436.341666666667,327.025,339.812,342.98,268.364,196.2,196.545833333333,239.884,261.408
2010,"AMAZONAS","PRECIP",271.829166666667,253.775510204082,359.517647058824,380.425490196078,312.991111111111,346.32,218.425581395349,209.232558139535,219.93023255814,175.856097560976,267.645,234.497435897436
2011,"AMAZONAS","PRECIP",216.159090909091,222.920930232558,308.336585365854,283.668292682927,447.786486486486,387.51724137931,274.05,187.520833333333,244.241666666667,206.5,268.995833333333,338.816666666667
2012,"AMAZONAS","PRECIP",297.62,306.184,421.112,302.708333333333,393.26,308.34,301.254166666667,270.2125,273.475,296.0375,288.9,339.304
2013,"AMAZONAS","PRECIP",330.6,351.744,376.744,354.675,385.425,333.973913043478,326.619047619048,289.773684210526,297.2,316.583333333333,292.5,309
2014,"AMAZONAS","PRECIP",325.491538461538,299.169166666667,328.23,452.662307692308,416.715833333333,457.17,236.35,249.58,241.76,275.79,NA,288.75
2007,"ANTIOQUIA","PRECIP",94.4426666666667,23.4420814479638,226.114814814815,396.207339449541,477.182547169811,240.629245283019,292.77345971564,418.21023255814,347.02476635514,409.311267605634,242.649282296651,195.253140096618
2008,"ANTIOQUIA","PRECIP",100.252036199095,199.980542986425,218.122624434389,276.286425339367,363.663302752294,350.210550458716,384.527314814815,396.299543378995,287.600456621005,393.348387096774,387.618721461187,109.672018348624
