"ANYO","DEPTO","VARIABLE","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
2014,"AMAZONAS","Prec",242.39,257.03,246.53,517.61,392.59,457.17,236.35,249.58,241.76,275.79,NA,288.75,340.95,225.91
2014,"ANTIOQUIA","Prec",89.61,109.13,98.31,228.18,289.59,248.07,122.89,251.15,287.91,245.36,NA,141.44,94.72,96.08
2014,"ARAUCA","Prec",27.86,34.12,28.19,258.95,204.88,287.06,261.33,155.45,259.67,200.5,NA,49.95,34.85,73.64
2014,"ATLANTICO","Prec",25,25,25,56.37,69.77,45.42,32.65,93.02,170.71,294.96,NA,46.13,25,25
2014,"BOLIVAR","Prec",25.98,45.13,57.97,116.69,176.24,105.51,66.34,206.1,213,186.8,NA,66.86,40.56,39.45
2014,"BOYACA","Prec",46.69,90.89,80.23,193.35,186.34,139.65,137.42,125.22,131.99,310.11,NA,87.08,53.61,56.58
2014,"CALDAS","Prec",212.56,229.02,156.55,240.54,303.46,102.33,30.41,71.94,245.79,227.8,NA,198.08,179.12,154.03
2014,"CAQUETA","Prec",110.08,128.99,200.44,393.51,336.3,165.99,309.19,224.14,177.36,287.14,NA,156.03,228.02,161.14
2014,"CASANARE","Prec",25,31.55,28.6,312.19,267.51,299.14,309.99,221.78,221.29,381.31,NA,58.55,43.05,50.09
2014,"CAUCA","Prec",318.37,302.88,190.9,249.73,372.7,247.39,122.75,191.76,214.66,294.07,NA,312.85,255.16,219.81
2014,"CESAR","Prec",35.71,32.16,72.25,113.55,217.6,44.6,32.59,174.79,208.6,377.13,NA,75.58,29.13,59.21
2014,"CHOCO","Prec",277.5,259.45,217.53,306.84,411.94,370.56,285.21,344.43,439.02,187.89,NA,348.63,273.08,189.42
2014,"CORDOBA","Prec",37.25,25.84,48.63,127.16,150.76,213.66,149.83,220.47,255.52,169.38,NA,74.36,29.26,30.08
2014,"CUNDINAMARCA","Prec",70.88,99.92,102.83,188.45,177.83,155.11,109.84,88.83,132.13,293.08,NA,112.01,79,68.03
2014,"GUAINIA","Prec",144.39,151.05,107.16,305.8,330.71,637.3,498.67,370.5,248.71,315.69,NA,188.15,136.68,95.45
2014,"GUAVIARE","Prec",47.51,77.35,136.32,435.39,334.27,484.56,357.58,339.54,247.71,144.32,NA,113.75,182.63,91.24
2014,"HUILA","Prec",99.34,108.81,147.69,122.99,184.63,103.41,69.56,63.44,52.05,144.64,NA,266.03,66.13,94.03
2014,"GUAJIRA","Prec",25,25,27.73,35.48,51.46,28.42,25.13,84.4,97.51,239.16,NA,36.49,25,25
2014,"MAGDALENA","Prec",26.6,25.59,42.31,82.93,145.2,46.3,60.86,159.07,191.4,292.26,NA,64.26,25,26.57
2014,"META","Prec",30.49,53.43,114.89,444.03,327.18,397.3,318.26,249,232.75,372.66,NA,96.49,151.27,59.55
2014,"NARINYO","Prec",359.05,211.45,211.71,238.57,432.31,302.96,129.42,168.96,193.42,247.37,NA,334.99,210.69,254.92
2014,"NORTE SANTANDER","Prec",38.15,58.66,77.99,137.91,147.76,72.22,72.71,126.64,194.75,233.62,NA,69.29,54.61,101.89
2014,"PUTUMAYO","Prec",178.21,177.22,221.99,377.31,395.4,437.23,461.56,247.66,217.37,289.49,NA,218.31,358.59,219.59
2014,"QUINDIO","Prec",141.12,184.13,180.32,194.52,237.89,74.82,25.22,30.76,142.43,294.29,NA,172.74,91.2,101.19
2014,"RISARALDA","Prec",123.5,138.12,138.7,197.05,231.17,123.48,34.39,74.85,170.36,301.14,NA,161.95,89.26,116.77
2014,"SANTANDER","Prec",48.63,138.47,119.09,205.82,219.05,118.07,81.5,168.59,221.87,208.18,NA,89.02,96.24,102.61
2014,"SUCRE","Prec",25.82,25.04,29.94,77.87,115.38,109.7,76.42,215.84,191.28,187.02,NA,42.82,25,25.44
2014,"TOLIMA","Prec",123.57,134.57,122.48,233.15,194.61,64.91,30.54,37.66,138.93,252.32,NA,159.77,135.74,101.01
2014,"VALLE","Prec",154.89,125.41,135.6,210.39,207,103.77,76.3,121.81,146.45,331.16,NA,121.85,103.32,75.16
2014,"VAUPES","Prec",188.92,226.72,150.06,359.08,385.67,515.59,422.12,347.7,206.81,303.47,NA,247.19,255.38,158.61
2014,"VICHADA","Prec",41.93,51.12,69.19,263.81,264.46,491.08,418.3,278.65,258.67,258.67,NA,90.94,63.15,55.44
